	weights	p	n_neighbors	metric_params	metric	leaf_size	algorithm	accuracy	average_precision	f1	precision	recall	roc_auc
0	distance	1	3	{'w': 3}	seuclidean	10	auto						
1	distance	3	7	{'w': 1}	chebyshev	30	kd_tree						
2	uniform	2	5	{'w': 2}	mahalanobis	10	kd_tree						
3	uniform	3	7	{'w': 2}	mahalanobis	10	auto						
4	distance	2	3	{'V': 3}	minkowski	100	kd_tree						
5	distance	3	10	{'w': 3}	chebyshev	100	ball_tree						
6	distance	1	5	{'w': 3}	seuclidean	40	brute						
7	uniform	1	5	{'w': 2}	chebyshev	20	ball_tree						
8	uniform	3	10	{'w': 3}	minkowski	50	auto	0.8089271500984457	0.561753843623249	0.398251628888283	0.795	0.2879804332634521	0.7554314889951776
9	uniform	1	10	{'V': 3}	minkowski	20	kd_tree						
10	distance	1	10	{'w': 3}	seuclidean	20	auto						
11	distance	2	7	{'w': 1}	seuclidean	10	brute						
12	distance	1	3	{'w': 1}	seuclidean	20	brute						
13	uniform	1	7	{'w': 3}	seuclidean	50	kd_tree						
14	distance	2	5	{'V': 1}	chebyshev	40	brute	0.7531984416237275	0.4034003723716756	0.26668828137064793	0.5104528039010797	0.18280922431865826	0.6231321703815451
15	uniform	1	5	{'V': 2}	mahalanobis	10	kd_tree						
16	distance	2	5	{'V': 1}	seuclidean	10	kd_tree						
17	uniform	2	10	{'V': 3}	minkowski	40	brute	0.8089229609149177	0.5629692191997879	0.4012591222119436	0.7740224545102594	0.29545772187281616	0.7658492862243714
18	uniform	3	10	{'V': 3}	mahalanobis	10	kd_tree						
19	uniform	1	10	{'w': 3}	mahalanobis	100	brute						
20	distance	1	7	{'V': 2}	seuclidean	30	brute						
21	uniform	2	5	{'V': 2}	chebyshev	30	ball_tree						
22	distance	3	10	{'w': 3}	chebyshev	20	brute	0.7531900632566713	0.3952537680083207	0.18809117831594246	0.46151960784313717	0.11942697414395528	0.633004662063539
23	uniform	3	5	{'V': 1}	seuclidean	100	ball_tree						
24	uniform	1	10	{'V': 2}	chebyshev	10	brute	0.7568430312932009	0.35903514132702063	0.1457264957264957	0.49653679653679655	0.08581411600279523	0.6229710711214083
25	distance	2	3	{'V': 3}	chebyshev	100	kd_tree						
26	uniform	2	3	{'w': 1}	chebyshev	20	kd_tree						
27	distance	1	5	{'V': 1}	chebyshev	20	kd_tree						
28	distance	2	5	{'V': 2}	chebyshev	20	kd_tree						
29	uniform	2	10	{'V': 2}	mahalanobis	40	ball_tree						
30	uniform	1	3	{'w': 1}	seuclidean	40	brute						
31	uniform	3	3	{'V': 3}	seuclidean	10	brute						
32	uniform	3	3	{'w': 2}	seuclidean	100	ball_tree						
33	distance	1	10	{'V': 2}	mahalanobis	100	auto						
34	distance	3	5	{'V': 3}	seuclidean	10	kd_tree						
35	distance	3	7	{'V': 3}	mahalanobis	100	ball_tree						
36	uniform	1	3	{'w': 3}	minkowski	50	auto	0.7778517866867747	0.4849687185684413	0.475985228712127	0.5412634708286882	0.4479385045422782	0.7277703839945258
37	uniform	2	7	{'V': 1}	mahalanobis	40	brute						
38	uniform	1	3	{'V': 2}	minkowski	100	auto						
39	uniform	3	5	{'V': 2}	chebyshev	100	auto	0.7550249256419923	0.36572916304173014	0.2449454450068261	0.49826007326007327	0.16422082459818307	0.6139788478607907
40	distance	3	7	{'w': 1}	chebyshev	20	ball_tree						
41	uniform	2	10	{'w': 2}	mahalanobis	100	kd_tree						
42	uniform	2	5	{'V': 3}	mahalanobis	100	kd_tree						
43	uniform	1	3	{'w': 1}	seuclidean	50	auto						
44	distance	3	5	{'V': 2}	chebyshev	50	ball_tree						
45	distance	3	7	{'w': 2}	mahalanobis	30	brute						
46	uniform	1	3	{'w': 2}	minkowski	40	kd_tree						
47	uniform	1	10	{'V': 1}	chebyshev	50	brute	0.7568430312932009	0.35903514132702063	0.1457264957264957	0.49653679653679655	0.08581411600279523	0.6229710711214083
48	distance	1	5	{'V': 3}	minkowski	50	brute						
49	uniform	2	10	{'w': 1}	minkowski	20	kd_tree						
50	uniform	2	5	{'w': 1}	chebyshev	40	ball_tree						
51	distance	3	10	{'w': 2}	mahalanobis	100	brute						
52	distance	1	7	{'w': 1}	seuclidean	20	ball_tree						
53	uniform	1	3	{'V': 3}	mahalanobis	20	ball_tree						
54	distance	2	7	{'w': 2}	chebyshev	20	kd_tree						
55	distance	2	10	{'V': 1}	seuclidean	40	auto						
56	uniform	3	5	{'V': 3}	minkowski	20	brute	0.8080013405387291	0.5226268719611011	0.4939006596107708	0.6700749995220407	0.3996505939902166	0.740045069420685
57	distance	3	5	{'V': 1}	seuclidean	100	auto						
58	uniform	2	5	{'w': 2}	seuclidean	30	ball_tree						
59	distance	1	7	{'w': 3}	chebyshev	100	brute	0.7531858740731431	0.4076048204874391	0.2256543067780996	0.4852564102564103	0.14919636617749826	0.6229384012130091
60	uniform	2	5	{'w': 1}	seuclidean	30	kd_tree						
61	distance	3	3	{'V': 2}	chebyshev	20	brute	0.7175233546981693	0.4515994678967088	0.49364403093067466	0.44006962964045393	0.5819007686932215	0.7010920679095264
62	distance	1	5	{'w': 1}	seuclidean	30	brute						
63	uniform	3	3	{'w': 2}	chebyshev	100	kd_tree						
64	uniform	2	5	{'w': 2}	minkowski	10	kd_tree						
65	uniform	2	3	{'w': 2}	minkowski	100	brute	0.7824054291818525	0.48391539905363573	0.4734393430384472	0.5584179111052376	0.41781970649895184	0.7159915234280619
66	distance	3	5	{'w': 2}	mahalanobis	100	auto						
67	distance	3	3	{'w': 2}	seuclidean	100	brute						
68	distance	1	7	{'V': 2}	chebyshev	40	ball_tree						
69	uniform	3	5	{'w': 2}	mahalanobis	10	ball_tree						
