	solver	penalty	l1_ratio	intercept_scaling	dual	C	accuracy	average_precision	f1	precision	recall	roc_auc
0	saga	l2	0.9	5	True	0.001						
1	lbfgs	none	0.0	0	False	0.5	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
2	liblinear	l1	0.0	1	True	0.05						
3	liblinear	none	0.9	5	True	10.0						
4	lbfgs	elasticnet	0.15	1	False	5.0						
5	newton-cg	l1	0.15	5	True	0.01						
6	newton-cg	elasticnet	0.6	0	False	0.5						
7	newton-cg	elasticnet	0.15	5	True	0.005						
8	sag	none	0.9	5	False	0.1	0.8609819446189938	0.7507638543820694	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8554251840453249
9	liblinear	none	1.0	0	False	0.005						
10	lbfgs	none	0.6	5	True	10.0						
11	newton-cg	none	0.9	0	True	0.005						
12	saga	elasticnet	0.15	1	False	0.001	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
13	saga	none	1.0	1	True	0.01						
14	newton-cg	none	0.0	1	False	0.001	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
15	newton-cg	none	0.45	5	True	0.5						
16	lbfgs	l2	1.0	5	True	5.0						
17	sag	elasticnet	0.15	0	True	0.005						
18	liblinear	l1	0.0	5	False	0.1	0.8573205982154078	0.7520322188464098	0.5616208445642409	0.8887798707824469	0.48686502177068214	0.8560415828772274
19	sag	l2	0.15	0	True	0.001						
20	sag	elasticnet	0.45	1	False	0.001						
21	sag	l2	0.45	0	True	0.05						
22	sag	none	0.75	5	True	0.01						
23	lbfgs	elasticnet	0.9	1	True	0.01						
24	sag	l1	0.6	1	False	5.0						
25	lbfgs	elasticnet	1.0	5	True	1.0						
26	lbfgs	none	0.15	5	False	0.01	0.8609819446189938	0.7503169141257651	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8552892265724727
27	liblinear	none	0.45	0	True	0.005						
28	sag	l2	0.3	5	False	0.01	0.7659922081186378	0.7355947985365698	0.05740259740259741	0.6	0.030188679245283023	0.8470740727787783
29	lbfgs	l1	0.0	0	True	0.5						
30	newton-cg	none	0.9	5	False	0.05	0.8609819446189938	0.7503583240103995	0.6127818913386316	0.8094206313580452	0.551233671988389	0.8553582982146292
31	liblinear	l2	1.0	0	True	10.0						
32	lbfgs	l2	0.75	1	True	0.001						
33	liblinear	l1	0.3	1	True	0.01						
34	saga	l1	0.45	1	True	0.5						
35	lbfgs	none	0.45	0	True	0.1						
36	newton-cg	l1	0.9	0	True	0.005						
37	liblinear	elasticnet	1.0	5	True	1.0						
