	oob_score	n_estimators	min_weight_fraction_leaf	min_samples_split	min_samples_leaf	min_impurity_decrease	max_samples	max_leaf_nodes	max_features	max_depth	criterion	ccp_alpha	bootstrap	accuracy	average_precision	f1	precision	recall	roc_auc
0	True	50	1.0	10	2	1.0	0.75	10.0	sqrt		entropy	1.0	False						
1	True	10	0.0	10	1	1.0		200.0	sqrt	10.0	entropy	0.01	False						
2	True	25	5.0	10	2	0.0	0.1	500.0	log2	1000.0	entropy	0.0001	False						
3	False	50	1.0	10	2	5.0	0.75	1000.0	auto		gini	0.0001	True						
4	False	10	5.0	10	1	1.0	0.75	200.0	auto	100.0	gini	0.0001	False						
5	True	25	10.0	10	2	1.0	0.1	500.0	auto	10.0	entropy	0.001	True						
6	False	50	5.0	5	5	0.5	0.5		sqrt	100.0	gini	0.001	False						
7	True	25	10.0	5	5	1.0	0.9	100.0	log2		gini	0.0	True						
8	False	50	0.0	5	2	1.0	0.75	500.0	sqrt		entropy	1.0	False						
9	True	75	5.0	10	5	5.0	0.75		log2	10.0	entropy	0.01	True						
10	False	25	10.0	10	1	1.0	1.0	100.0	log2	10.0	gini	1.0	True						
11	True	50	10.0	2	2	1.0	0.75	100.0	auto	10.0	gini	0.01	True						
12	False	100	10.0	2	5	5.0		1000.0	log2	1000.0	entropy	1.0	True						
13	False	75	0.0	10	1	1.0	0.9		sqrt	10.0	gini	1e-05	False						
14	True	10	10.0	5	1	0.0	0.1		auto		entropy	0.01	True						
15	True	100	0.0	5	1	0.5	0.9	10.0	auto	100.0	entropy	1e-05	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
16	True	50	10.0	2	2	0.0	0.9	10.0	sqrt	10.0	entropy	0.1	False						
17	True	10	1.0	2	2	0.0	1.0	10.0	log2	10.0	entropy	0.0001	False						
18	True	75	1.0	2	5	10.0	0.9	100.0	sqrt	100.0	gini	1e-05	True						
19	True	10	5.0	2	2	1.0		1000.0	sqrt	100.0	entropy	0.0	True						
20	True	100	1.0	10	1	0.5	0.5	1000.0	log2	10.0	entropy	0.001	True						
21	True	100	10.0	10	1	0.5			sqrt	1000.0	entropy	0.1	True						
22	False	75	5.0	2	5	5.0	1.0	10.0	auto		gini	0.0	True						
23	False	100	0.0	10	1	0.0	0.9	10.0	sqrt	100.0	entropy	0.1	True	0.7586862720455783	0.6998770698700069	0.0	0.0	0.0	0.8314660674628849
24	False	50	0.0	10	2	5.0	0.1	500.0	sqrt	1000.0	entropy	0.001	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
25	False	100	10.0	10	1	5.0	0.25	1000.0	log2	10.0	entropy	0.0	True						
26	False	100	10.0	2	1	1.0	0.75		log2		entropy	0.01	True						
27	False	75	0.0	10	5	10.0	0.25	100.0	auto		gini	0.1	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
28	True	25	10.0	2	5	0.0		200.0	auto	1000.0	gini	0.1	True						
29	True	50	10.0	5	2	10.0	1.0	200.0	log2		entropy	0.001	False						
30	False	75	1.0	10	1	5.0	1.0	200.0	auto		entropy	0.0	False						
31	False	10	0.0	5	2	1.0	0.25	500.0	log2	1000.0	gini	1e-05	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
32	False	25	10.0	5	2	10.0	1.0		log2	10.0	entropy	1.0	False						
33	False	100	0.0	2	2	0.0	0.25		auto	10.0	entropy	1e-05	True	0.8609819446189937	0.7755815430867954	0.5899480762440026	0.8681988742964354	0.5171988388969521	0.8700089181107595
34	True	75	5.0	5	1	0.0	1.0		log2	1000.0	entropy	1.0	False						
35	False	25	10.0	5	1	0.5	1.0	500.0	auto	10.0	gini	0.0	True						
36	False	25	0.0	10	1	5.0	0.9	10.0	auto		entropy	0.01	False						
37	True	50	5.0	10	5	0.5		50.0	sqrt	1000.0	gini	1.0	False						
38	False	75	5.0	2	1	0.0	0.75	50.0	sqrt		entropy	0.01	False						
39	True	50	10.0	10	2	5.0	0.1	1000.0	auto	100.0	entropy	1e-05	False						
40	True	100	1.0	2	2	0.5		100.0	log2	100.0	entropy	0.01	True						
41	False	50	1.0	2	1	5.0	0.9		log2	10.0	gini	0.0001	False						
42	False	50	5.0	2	1	1.0	0.75	200.0	sqrt	100.0	gini	0.001	False						
43	True	10	10.0	5	2	5.0	0.5		sqrt	10.0	entropy	0.1	True						
44	False	10	1.0	2	1	0.5	1.0	10.0	log2	100.0	entropy	0.1	False						
45	False	100	10.0	10	5	5.0	0.25	50.0	sqrt	1000.0	gini	0.0	False						
46	False	50	0.0	2	2	10.0	0.5	10.0	sqrt		gini	0.001	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
47	False	25	0.0	5	1	10.0	0.1	1000.0	auto		gini	0.001	False						
48	False	75	0.0	10	2	10.0		100.0	log2		gini	1.0	False	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
49	True	25	0.0	10	5	0.0	0.5	50.0	auto	100.0	entropy	0.1	False						
50	False	10	1.0	10	1	5.0			sqrt	1000.0	gini	1e-05	False						
51	False	100	5.0	2	1	5.0	1.0	10.0	sqrt	10.0	gini	1.0	False						
52	True	50	0.0	5	2	0.5	0.9	100.0	sqrt	10.0	gini	0.0001	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
