	power_t	penalty	loss	learning_rate	l1_ratio	eta0	epsilon	average	alpha	accuracy	average_precision	f1	precision	recall	roc_auc
0	0.9	l1	hinge	optimal	0.75	1e-05	0.2	False	0.01	0.8554941141971429	0.7342037244654092	0.5688454730482145	0.8613030303030303	0.5170537010159653	0.8300146886530154
1	0.9	elasticnet	squared_hinge	constant	0.75	1e-05	0.7	True	0.01	0.7586862720455783	0.7014683116635719	0.0	0.0	0.0	0.8250450277160895
2	0.1	l2	squared_error	constant	1.0	0.1	0.7	True	0.001	0.7557915462276402	0.5086609086365212	0.5381055968288742	0.517386317935937	0.5674165457184326	0.718117754035008
3	0.57	l2	perceptron	adaptive	0.45	1e-05	0.5	False	0.01	0.766000586485694	0.6810909520618	0.5402746624252325	0.670646121872916	0.6492017416545718	0.8140993582457552
4	0.9	l1	squared_error	optimal	0.9	0.01	0.5	False	1.0	0.7256587491097986	0.24254595649083005	0.05806451612903226	0.05	0.06923076923076923	0.4961422613531047
5	0.57	l2	log	invscaling	0.0	0.0001	0.5	True	1.0	0.7586862720455783	0.4533660741191034	0.0	0.0	0.0	0.6364571493521255
6	0.57	elasticnet	perceptron	invscaling	0.0	0.001	0.3	False	0.001	0.8151480876377194	0.6995320552327119	0.6454611302737441	0.6803092760569565	0.6360667634252539	0.8246585762498471
7	0.25	elasticnet	squared_hinge	invscaling	0.15	0.01	0.1	False	1e-05	0.8609777554354656	0.7519615062160898	0.5811744639376217	0.8961307413219626	0.5020319303338171	0.856908912864812
8	0.57	elasticnet	modified_huber	constant	0.0	0.0001	0.5	True	0.1	0.8381425160236271	0.7464296436603078	0.46071739894080277	0.9750881316098707	0.34346879535558783	0.8519261370591218
9	0.25	l2	squared_error	constant	0.9	1e-05	0.3	False	0.001	0.7586862720455783	0.6126964283344348	0.0	0.0	0.0	0.7677544721702485
10	0.5	l1	perceptron	constant	1.0	0.0001	0.3	True	1.0	0.31533660089648524	0.15647873223059156	0.1202792596919047	0.09008054401515161	0.19361393323657478	0.21020992533268051
11	0.25	elasticnet	log	invscaling	0.0	1e-05	0.1	False	1e-06	0.7586862720455783	0.45612783627336817	0.0	0.0	0.0	0.634687953555878
12	0.5	elasticnet	squared_hinge	optimal	0.45	0.0001	0.7	False	0.01	0.7732981441916971	0.6388954267331378	0.562951347119634	0.5264706759072956	0.6387518142235123	0.7929188451920891
13	0.9	l2	squared_hinge	optimal	0.6	1e-05	0.7	True	0.001	0.86921369025177	0.7521462467442117	0.630417783479966	0.8823016523361609	0.5476052249637156	0.850835417140259
14	0.57	elasticnet	squared_hinge	optimal	0.75	1e-05	0.7	False	1e-05	0.7557664111264714	0.6906248002487775	0.6013613774200427	0.6681186015887176	0.7163280116110304	0.8195070557993951
15	0.25	l2	hinge	constant	0.0	0.001	0.7	False	1e-06	0.8600603242428051	0.7503322872218577	0.5743847331194722	0.886780303030303	0.505732946298984	0.8577775543392729
16	0.5	l1	log	constant	0.6	0.1	0.7	True	0.1	0.3190147040341837	0.15725450436084304	0.13051085904868726	0.09729921195211713	0.2127721335268505	0.21514373896165212
17	0.9	l1	squared_error	optimal	0.15	0.01	0.5	True	1e-05	0.5073687738259813	0.2805605206374521	0.33093120072467996	0.2476654219981717	0.5194484760522496	0.5259949813768864
18	0.25	l1	hinge	constant	0.6	0.0001	0.1	True	1.0	0.23309454987222988	0.19543780607638603	0.37712240121162055	0.2345215781883435	0.9622641509433961	0.33328291394897447
19	0.57	l1	modified_huber	optimal	0.6	0.001	0.9	False	0.0001	0.8454107494449332	0.6818717978839762	0.6343974245901685	0.7046388752756678	0.5895500725689405	0.8044673614632696
20	0.5	elasticnet	squared_error	constant	0.6	0.1	0.7	True	0.0001	0.7431737254409115	0.5479615585463662	0.4991804800281744	0.62413649553457	0.5813497822931785	0.7411701960235718
21	0.5	l1	log	adaptive	0.9	0.001	0.5	True	1e-05	0.8564115453898035	0.7463724162529118	0.5389569596832452	0.9430013216388321	0.43033381712626995	0.8525678913039677
22	0.5	l1	log	constant	0.75	1e-05	0.9	False	1e-06	0.7586862720455783	0.515131247999364	0.0	0.0	0.0	0.68965674016822
23	0.1	l1	modified_huber	optimal	1.0	1e-05	0.2	True	0.0001	0.8682962590591095	0.7414925092430391	0.6256703336148753	0.8806673648778911	0.5437590711175617	0.8520673404794795
24	0.9	l2	hinge	adaptive	0.75	0.001	0.9	False	1e-06	0.8600603242428051	0.7513084808855356	0.5743847331194722	0.886780303030303	0.505732946298984	0.8589364715757078
25	0.9	elasticnet	modified_huber	constant	0.75	0.001	0.2	False	0.0001	0.8600645134263333	0.7534412625701894	0.5786744639376218	0.8956877734371341	0.4982583454281568	0.855009879867802
26	0.9	l2	squared_error	constant	0.0	0.01	0.5	True	0.001	0.8573205982154078	0.733435548891773	0.5708469252314592	0.8685325326302771	0.5132801161103048	0.8532878975991046
27	0.9	l1	log	invscaling	0.0	1e-05	0.5	True	1e-06	0.7586862720455783	0.47011969899526573	0.0	0.0	0.0	0.6315884729046812
28	0.1	l2	squared_hinge	adaptive	0.0	0.0001	0.7	False	0.01	0.8600687026098613	0.7512431748217552	0.5770537359061412	0.9006898326898327	0.48701015965166905	0.8550496616363858
29	0.57	elasticnet	log	invscaling	0.0	0.001	0.1	False	1.0	0.7586862720455783	0.47355265442962874	0.0	0.0	0.0	0.6499838249951913
30	0.25	l2	perceptron	invscaling	0.0	0.0001	0.7	False	1e-05	0.7797201625403208	0.6537256549353617	0.5746978730785121	0.6551639941964924	0.6158925979680696	0.7977062094531975
31	0.5	l1	perceptron	adaptive	0.3	0.001	0.9	True	0.1	0.3300029324284697	0.15806328067028655	0.12367091901539454	0.09409777591784993	0.19339622641509435	0.21655795897669047
32	0.9	l2	hinge	optimal	0.75	1e-05	0.5	False	0.1	0.7933936575761383	0.7422842551933984	0.24510219703733505	0.9866666666666667	0.1472423802612482	0.8502378162869183
33	0.25	elasticnet	squared_error	adaptive	0.9	0.001	0.5	True	0.1	0.5174144359264379	0.16825773801632044	0.07551493655667661	0.07239973036737446	0.08316400580551524	0.2783591550527218
34	0.5	elasticnet	squared_error	optimal	0.3	1e-05	0.1	False	1.0	0.7586862720455783	0.33276513448828215	0.0	0.0	0.0	0.5709024778358718
35	0.1	l2	squared_error	adaptive	0.9	1e-05	0.2	True	0.001	0.7586862720455783	0.5744911492877385	0.0	0.0	0.0	0.735840313357931
36	0.9	elasticnet	log	adaptive	1.0	1e-05	0.3	False	1e-06	0.7586862720455783	0.5161921241453328	0.0	0.0	0.0	0.6904318289121654
