	shrinking	probability	kernel	gamma	degree	decision_function_shape	coef0	break_ties	C	accuracy	average_precision	f1	precision	recall	roc_auc
0	True	True	linear	scale	1	ovr	0.0	False	1.0	0.8545808721880105	0.761221202875378	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8618217427037613
1	True	False	poly	scale	1	ovo	0.001	True	0.005						
2	False	True	poly	auto	1	ovr	1.0	False	0.001	0.7586862720455783	0.7431838349064573	0.0	0.0	0.0	0.852062094531974
3	True	False	poly	scale	3	ovo	0.0	True	0.005						
4	True	False	sigmoid	scale	3	ovr	5.0	True	10.0	0.7586862720455783	0.583854825333513	0.0	0.0	0.0	0.8223765890849318
5	True	False	rbf	scale	5	ovr	1.0	False	0.05	0.7586862720455783	0.7230441609410447	0.0	0.0	0.0	0.8442980922237571
6	False	False	sigmoid	scale	2	ovo	5.0	False	0.001	0.7586862720455783	0.5892366385792215	0.0	0.0	0.0	0.8278161994858972
7	True	True	rbf	auto	4	ovr	0.01	True	0.001	0.7586862720455783	0.7292605797439466	0.0	0.0	0.0	0.847964572367846
8	False	True	sigmoid	auto	5	ovr	0.001	False	0.005	0.7586862720455783	0.7273197992920506	0.0	0.0	0.0	0.845189903299701
9	False	True	linear	scale	4	ovr	10.0	True	1.0	0.8545808721880105	0.761221503487647	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8617976987776943
10	True	False	sigmoid	auto	3	ovr	0.1	True	10.0	0.7888316367140045	0.564492130362534	0.5551693769758808	0.5641290232568122	0.556023222060958	0.7928204836763599
11	False	False	linear	auto	5	ovr	1.0	True	0.05	0.8545808721880105	0.7548365756037431	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8574920873625125
12	False	False	poly	auto	4	ovr	0.0	True	10.0	0.8262703699049055	0.6498234700906452	0.48893373463079015	0.7562271062271062	0.3776487663280116	0.8005350866455665
13	False	True	linear	auto	4	ovo	10.0	False	0.001	0.7586862720455783	0.7427584573252135	0.0	0.0	0.0	0.8506732299298791
14	False	False	sigmoid	auto	5	ovo	10.0	False	1.0	0.7586862720455783	0.6740423946649698	0.0	0.0	0.0	0.8304579712172346
15	False	False	linear	auto	5	ovr	1.0	False	0.01	0.7778685434208873	0.7418941250721026	0.14712314938730034	0.7666666666666667	0.08686502177068214	0.8507287495409797
16	False	True	rbf	scale	1	ovo	10.0	True	0.5						
17	False	True	sigmoid	scale	5	ovr	0.0	False	0.5	0.7951991956767627	0.5305544695924767	0.47621370938218444	0.5893690218834149	0.4268505079825834	0.7421546855054469
18	True	False	rbf	auto	3	ovr	5.0	True	0.1	0.7586862720455783	0.7290100985529049	0.0	0.0	0.0	0.849033434172102
19	False	True	poly	auto	5	ovo	0.1	True	0.01						
20	False	False	sigmoid	scale	4	ovr	0.1	True	10.0	0.7467638557245192	0.4889431363107043	0.4570020103620697	0.47881787802840436	0.44252539912917277	0.7405297532656024
21	False	False	rbf	scale	4	ovr	0.1	True	0.1	0.7605127560638432	0.7233328443562028	0.021818181818181816	0.3	0.011320754716981133	0.8445057443125185
22	True	True	poly	auto	2	ovo	10.0	False	0.01	0.8381425160236269	0.7438338186848986	0.47776405956910006	0.9368091074080184	0.36233671988388966	0.8509311556822355
23	True	True	rbf	scale	3	ovo	5.0	True	0.005						
24	False	False	linear	scale	3	ovo	0.0	True	0.05						
25	True	False	rbf	auto	3	ovo	0.001	False	0.05	0.7586862720455783	0.7292549238851174	0.0	0.0	0.0	0.8490557294490007
26	False	False	linear	scale	4	ovr	10.0	False	0.1	0.8545808721880105	0.7440054711439157	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8554168779617746
27	False	False	sigmoid	scale	3	ovr	0.1	True	10.0	0.7467638557245192	0.4889431363107043	0.4570020103620697	0.47881787802840436	0.44252539912917277	0.7405297532656024
28	False	False	rbf	scale	2	ovr	0.0	True	5.0	0.8609777554354656	0.7236753694512857	0.5992669358061963	0.8111349448615351	0.521044992743106	0.8404803539265917
29	False	False	linear	auto	3	ovo	1.0	False	0.005	0.7586862720455783	0.7422194270247472	0.0	0.0	0.0	0.8509145435151346
30	True	False	linear	auto	3	ovo	10.0	True	5.0						
31	False	True	poly	scale	3	ovr	0.0	False	0.1	0.7714716601734322	0.6644599607878456	0.0970356926799758	0.6	0.05283018867924529	0.8166602549530488
32	True	True	linear	scale	2	ovr	0.001	True	0.005	0.7586862720455783	0.7422194270247472	0.0	0.0	0.0	0.8509145435151346
33	True	True	poly	scale	1	ovo	1.0	True	1.0						
34	True	False	linear	auto	2	ovr	0.001	False	0.5	0.8545808721880105	0.7519844524517542	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8633539965376746
35	True	True	poly	auto	1	ovr	1.0	False	0.1	0.7586862720455783	0.7419473151454616	0.0	0.0	0.0	0.8506373826219246
36	False	True	rbf	scale	5	ovr	0.01	True	10.0	0.8490930417661599	0.7105812894405115	0.5832147366061761	0.7319963768115942	0.5134978229317853	0.8289296518439505
37	True	False	rbf	auto	3	ovr	0.01	True	0.005	0.7586862720455783	0.7277653856512537	0.0	0.0	0.0	0.8469298092223758
38	True	False	sigmoid	scale	2	ovo	0.001	True	0.5						
39	True	True	poly	scale	1	ovr	1.0	True	1.0	0.8545808721880105	0.7518016988924623	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8604879605504749
40	True	False	linear	auto	1	ovr	0.1	False	0.05	0.8545808721880105	0.7548365756037431	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8574920873625125
41	True	True	linear	auto	2	ovo	0.01	False	0.005	0.7586862720455783	0.7422194270247472	0.0	0.0	0.0	0.8509145435151346
42	False	False	sigmoid	scale	5	ovo	10.0	True	5.0						
43	True	True	poly	auto	5	ovr	0.001	True	10.0	0.7961291944200075	0.5887964355939477	0.365010985962931	0.6967226613965745	0.25312046444121916	0.7804942556874814
44	False	True	sigmoid	scale	5	ovr	1.0	True	10.0	0.7458506137153869	0.4371817481322349	0.4681120038649553	0.4734073260647894	0.46894049346879535	0.7252824068407155
45	True	True	linear	auto	2	ovr	0.01	False	0.001	0.7586862720455783	0.7427584573252135	0.0	0.0	0.0	0.8506732299298791
46	False	False	linear	auto	4	ovr	0.001	True	0.01	0.7778685434208873	0.7418941250721026	0.14712314938730034	0.7666666666666667	0.08686502177068214	0.8507287495409797
47	False	True	linear	scale	5	ovr	5.0	False	0.001	0.7586862720455783	0.7427584573252135	0.0	0.0	0.0	0.8506732299298791
48	True	False	rbf	scale	1	ovr	5.0	False	0.5	0.8564073562062754	0.7214877428722744	0.5600369657296881	0.8842298919718274	0.48686502177068214	0.8411409061499991
49	False	False	linear	scale	2	ovo	10.0	True	10.0						
50	False	True	linear	auto	2	ovo	0.0	False	5.0	0.8545808721880105	0.7559843968032732	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8610125553010299
51	True	True	linear	scale	3	ovo	0.01	True	0.001						
52	False	False	poly	scale	1	ovr	0.001	False	0.005	0.7586862720455783	0.741499433567741	0.0	0.0	0.0	0.8504988021753196
53	False	True	sigmoid	auto	3	ovo	0.0	True	10.0						
54	False	True	poly	scale	5	ovo	0.001	True	1.0						
55	True	True	linear	scale	5	ovo	5.0	True	0.05						
56	False	False	poly	scale	2	ovo	0.1	False	0.005	0.7586862720455783	0.7142233351435782	0.0	0.0	0.0	0.8409704128560687
57	False	True	rbf	scale	5	ovo	10.0	False	0.01	0.7586862720455783	0.7225329025708092	0.0	0.0	0.0	0.8442810428943641
58	False	False	rbf	auto	4	ovo	0.0	False	0.001	0.7586862720455783	0.7292605797439466	0.0	0.0	0.0	0.847964572367846
59	True	False	sigmoid	auto	1	ovr	5.0	True	0.005	0.7586862720455783	0.6689444183213843	0.0	0.0	0.0	0.8416821130676553
60	True	True	poly	auto	2	ovr	0.01	False	5.0	0.8564073562062754	0.7275685730963415	0.571729035742998	0.8065342789598109	0.5020319303338171	0.8408200290275761
61	False	True	linear	auto	5	ovr	10.0	True	0.5	0.8545808721880105	0.7519795993521029	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8632617552940353
62	False	True	linear	auto	2	ovr	5.0	True	0.05	0.8545808721880105	0.7548365756037431	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8574920873625125
63	False	False	sigmoid	auto	5	ovo	0.0	False	0.5	0.8582296510410121	0.7006899784337554	0.5811003819818356	0.7731763068972372	0.5095791001451379	0.8526881109343034
64	False	False	sigmoid	auto	2	ovr	0.001	True	0.005	0.7586862720455783	0.7273197992920506	0.0	0.0	0.0	0.845189903299701
